ID,flesch_kincaid_score,gunning_fog_index,average_syllables,polysyllabic_word_count
SOU07,70.40952702702705,10.763191763191765,1.3751824817518248,78
BOD12,67.41261564486966,10.390456746193784,1.3671641791044775,48
UPL02,61.55312076175409,12.409787522603978,1.4237536656891496,77
SPC05,67.44806728334454,9.631109503384838,1.3936170212765957,53
SOU14,52.284853689567456,15.756234096692111,1.5044247787610618,71
UCA05,57.09809583674425,13.074704712899075,1.4983552631578947,94
LYO05,54.96741379310348,14.0,1.4779411764705883,91
CVL03,61.58280423280425,11.994179894179894,1.4333333333333331,65
LRE11,72.79730332459792,9.446606032577977,1.346774193548387,54
SOU15,58.837768115942055,14.569772256728776,1.3636363636363635,55
LDV05,77.60587997287523,8.20631103074141,1.296718972895863,40
UCA14,64.25151644430656,10.788023580515048,1.435326842837274,86
PES07,46.97629287257021,15.269771058315335,1.575139146567718,91
OCM13,74.17790124435287,7.674756281207895,1.3626126126126126,38
UCA11,53.08405662680013,13.30544300707835,1.559463986599665,98
BOD01,59.00010631644778,11.69555972482802,1.5015873015873016,85
ALS10,68.43838247091861,10.343281187324507,1.370101596516691,61
ALS11,61.11989180478824,11.705524861878454,1.4660766961651917,87
BOD07,85.62593023255815,6.893023255813954,1.24804992199688,31
SPC04,65.77576941866147,10.186549421918256,1.4272863568215892,75
HES08,60.42996783770411,10.360481609764143,1.474702380952381,79
LDV09,53.64852718609868,12.570515695067265,1.561776061776062,84
LYO11,74.87609649122808,9.09624060150376,1.3495934959349594,54
LOR08,65.34382072977263,11.050872554204126,1.395309882747069,59
PES08,57.28983333333332,11.77851851851852,1.4981412639405205,73
BRE14,63.9469379566806,10.496894572025054,1.4056291390728477,57
UCA07,70.04294871794873,9.841789416257502,1.388316151202749,60
SPC08,64.53361097501227,10.520790462191735,1.4525939177101967,67
LDV08,62.57248087795148,11.28899235118058,1.434256055363322,62
OCM14,66.57026041666668,9.016815476190477,1.4137931034482758,54
ALS08,58.83351003490404,13.13804537521815,1.4705882352941178,100
BRE16,62.8978950159067,11.110003534817958,1.4437869822485208,81
GRE07,69.29851393188856,9.76057791537668,1.392156862745098,57
HES06,61.95765015015019,9.84084084084084,1.5316455696202531,72
LYO01,63.66436807095346,10.08179354520818,1.4475409836065574,66
BFC06,51.233371040724,15.72217194570136,1.5213946117274169,106
OCM08,58.99831393183089,12.06813186813187,1.4678362573099415,62
ALS05,58.38790781203235,13.588626159832389,1.45,74
ALS09,68.64825770283394,9.330343427209325,1.4186046511627908,66
BOD04,62.6866315789474,11.856987295825771,1.427320490367776,66
BRE04,61.54340000000002,11.074285714285717,1.45718901453958,71
BOD11,68.64816666666667,10.667407407407408,1.387218045112782,56
SPC09,59.45101941343111,10.725179136810532,1.518348623853211,61
LOR03,74.64794352903537,8.287058070708687,1.3500761035007611,51
SEN02,73.96811452513968,9.211119978717743,1.344574780058651,60
GRE01,55.028565515272646,12.115443905224094,1.4991150442477876,74
GRE13,65.94381835323696,10.307060548921015,1.4113029827315542,63
BFC02,66.76875000000001,10.363492063492064,1.4013157894736843,75
NOR04,55.54771660932127,12.623876550933169,1.492929292929293,58
GRE03,64.4037927179815,10.163398275311405,1.433399602385686,50
PES03,53.59888264720357,13.100246022634082,1.5026086956521738,71
HES03,68.65297794117647,9.426470588235295,1.4154589371980677,44
CFE09,70.59601083815032,9.274778420038537,1.3857142857142857,55
HES05,59.7024139908257,11.96376146788991,1.473873873873874,76
SOU09,55.06028571428576,11.283386243386245,1.5448577680525164,62
ALS03,60.197407592407615,12.25920745920746,1.4466165413533834,79
LDV07,61.833808049535605,11.01547987616099,1.4669887278582932,83
CFE05,69.93273818454618,9.130082520630156,1.3964110929853182,58
OCM11,78.54543184998603,7.256848586621887,1.3280632411067197,39
LRE02,66.32556990606938,11.034706165703277,1.382306477093207,59
HES02,76.82031600407747,8.5245376438037,1.344927536231884,69
LYO02,65.14538260869568,12.535652173913045,1.346666666666667,49
CFE02,65.07551756085238,9.954990314158174,1.443231441048035,48
POF05,56.34693877551021,11.43423254359215,1.5091240875912408,76
BFC10,56.4603763922037,13.093118536197297,1.4728682170542635,67
OCM18,68.60969416785208,9.874953496006128,1.3841166936790923,57
SPC03,50.98671521035601,14.35247341655109,1.5249500998003993,71
UCA02,60.23076582709328,12.617562968005446,1.4468864468864469,66
CVL01,75.81410852713181,9.454263565891472,1.3239171374764596,44
OCM07,58.81071428571431,12.87901983074397,1.454968944099379,74
LRE09,70.23246399945661,8.69688900964543,1.3824091778202676,39
SOU01,66.58151010101012,10.183838383838385,1.3908554572271383,60
UPS10,79.8480681818182,7.997413155949741,1.283173734610123,37
HES01,77.1882740428098,8.793608682544468,1.3015267175572518,35
NOR05,65.63176912648828,10.92068843569492,1.43261231281198,70
SOU13,82.4677729221084,6.772607327037708,1.2956521739130435,41
ALS04,76.37999361500293,8.401065382370112,1.319327731092437,52
NOR12,65.6724973730298,10.798919189392045,1.3974358974358974,64
LYO10,73.37827937095284,8.755843354918287,1.3641703377386196,60
PES04,51.50651260504202,13.163025210084031,1.541528239202658,49
SOU10,60.86801008254392,12.480394437981277,1.4595015576323989,82
PES06,51.054059484038646,14.610282108389011,1.5416666666666667,83
NOR10,72.89167025862069,8.62179802955665,1.3477406679764243,39
SEN01,61.92807692307696,11.839787798408487,1.4615384615384617,70
BFC09,50.20856643356643,15.68857808857809,1.50177304964539,86
LOR02,60.8142344595703,12.588518943742828,1.431372549019608,66
POF03,62.3666383616384,11.819647019647022,1.4302158273381296,79
UPS04,57.22237997432609,11.876251604621311,1.5212947189097104,89
OCM10,65.94807351515993,11.163117818081131,1.4038461538461535,62
CVL02,62.813225211284376,12.602404475657659,1.413533834586466,78
